feature_a,feature_b,abs_pearson_r,feature_a_outcome_corr_abs,feature_b_outcome_corr_abs,kept_feature,dropped_feature
dwi_log-sigma-3-0-mm-3D_firstorder_10Percentile,dwi_wavelet-LLL_firstorder_RootMeanSquared,0.9529152047484313,0.14166732494396264,0.1310443034440128,dwi_log-sigma-3-0-mm-3D_firstorder_10Percentile,dwi_wavelet-LLL_firstorder_RootMeanSquared
ce_wavelet-HHL_glcm_SumEntropy,ce_wavelet-HHL_glcm_DifferenceAverage,0.9180135089241337,0.03776615957976779,0.002221184250068097,ce_wavelet-HHL_glcm_SumEntropy,ce_wavelet-HHL_glcm_DifferenceAverage
dwi_log-sigma-3-0-mm-3D_firstorder_10Percentile,dwi_original_firstorder_RootMeanSquared,0.9536695785529048,0.14166732494396264,0.13098058919206637,dwi_log-sigma-3-0-mm-3D_firstorder_10Percentile,dwi_original_firstorder_RootMeanSquared
dwi_log-sigma-3-0-mm-3D_firstorder_10Percentile,dwi_original_firstorder_Median,0.9501547107675314,0.14166732494396264,0.13154457739340766,dwi_log-sigma-3-0-mm-3D_firstorder_10Percentile,dwi_original_firstorder_Median
dwi_log-sigma-2-0-mm-3D_gldm_HighGrayLevelEmphasis,dwi_original_gldm_SmallDependenceHighGrayLevelEmphasis,0.8299062736479946,0.059037131467609465,0.04687378714369623,dwi_log-sigma-2-0-mm-3D_gldm_HighGrayLevelEmphasis,dwi_original_gldm_SmallDependenceHighGrayLevelEmphasis
dwi_wavelet-LHH_firstorder_TotalEnergy,dwi_wavelet-HLH_firstorder_TotalEnergy,0.9836950299766982,0.07491065687425245,0.0831457013213452,dwi_wavelet-HLH_firstorder_TotalEnergy,dwi_wavelet-LHH_firstorder_TotalEnergy
dwi_wavelet-HLH_firstorder_TotalEnergy,dwi_wavelet-HLH_firstorder_Energy,0.9999999999999997,0.0831457013213452,0.083145701464147,dwi_wavelet-HLH_firstorder_Energy,dwi_wavelet-HLH_firstorder_TotalEnergy
dwi_log-sigma-3-0-mm-3D_firstorder_10Percentile,dwi_log-sigma-3-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.8521121656173181,0.14166732494396264,0.06738035317773439,dwi_log-sigma-3-0-mm-3D_firstorder_10Percentile,dwi_log-sigma-3-0-mm-3D_glrlm_HighGrayLevelRunEmphasis
dwi_log-sigma-3-0-mm-3D_firstorder_10Percentile,dwi_wavelet-LLL_firstorder_Median,0.9494058551891753,0.14166732494396264,0.13145920699647223,dwi_log-sigma-3-0-mm-3D_firstorder_10Percentile,dwi_wavelet-LLL_firstorder_Median
dwi_log-sigma-2-0-mm-3D_gldm_HighGrayLevelEmphasis,dwi_log-sigma-2-0-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis,0.8685355735911482,0.059037131467609465,0.04974816513012368,dwi_log-sigma-2-0-mm-3D_gldm_HighGrayLevelEmphasis,dwi_log-sigma-2-0-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis
dwi_log-sigma-3-0-mm-3D_firstorder_10Percentile,dwi_log-sigma-3-0-mm-3D_firstorder_Variance,0.8721334724152189,0.14166732494396264,0.07635011749986172,dwi_log-sigma-3-0-mm-3D_firstorder_10Percentile,dwi_log-sigma-3-0-mm-3D_firstorder_Variance
