gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
NAT1,-0.144315890909094,7.28907509774436,-0.650612036819537,0.516415491569748,0.59600937250229,-6.07045871488071
TLR2,-0.144320458484845,6.21240577443609,-1.0514242358595,0.294963877407383,0.377278024109654,-5.74067526702782
FAM224A,-0.144323114545454,3.03608316541353,-2.93649585150267,0.0039107559152085,0.0105225030542757,-2.2171781206668
TRPM2-AS,-0.144449015757575,4.10664170676692,-1.8842521321352,0.0617060337653843,0.102259186476406,-4.57282408438402
UFL1,-0.144469072727272,8.48077109022556,-1.42279103567505,0.15713002584568,0.223374477978494,-5.29921906044472
LOC285766,-0.144571739696969,2.78277358646617,-3.3918468120631,0.0009138061514818,0.0033782388204126,-0.917521683910043
RASD2,-0.144573819090909,5.03607721052632,-1.81576359543086,0.0716514716659048,0.115896154954834,-4.69286225094404
LOC101928191,-0.144632767575758,2.93080868421053,-2.84195606012677,0.00518840608067,0.0132068518417057,-2.46664589437769
XIRP1,-0.144712291515152,5.01104908270677,-2.17298558114573,0.0315469059518623,0.0584658897784078,-4.02088241241226
TRIML2,-0.144732234242423,3.19740380451128,-3.13573519693658,0.0021089587483772,0.0064469502138461,-1.66822638935244
ARHGEF7-IT1,-0.14476205030303,2.57557361654135,-3.07655333346361,0.0025413215898599,0.0074722109315601,-1.83453754531877
DHX9,-0.144764112424244,8.34851395488722,-1.34107809834137,0.182173042542973,0.2529373715858,-5.40743757748453
NPAT,-0.144786508787877,7.69430915789474,-1.47488861637187,0.142597695866245,0.206008464587645,-5.22698602257849
LCN8,-0.144820673333333,3.17619339097744,-2.76052411383214,0.0065832820503652,0.0160105165682175,-2.67574760474944
LINC00559,-0.144915203333333,2.57166246616541,-3.0075181624811,0.0031486265146155,0.0088468297949976,-2.02507795591231
AGO1,-0.144963563939394,7.32364476691729,-1.09155757442895,0.276994311598077,0.35861996809735,-5.69922211505034
ZNF687,-0.144997206060609,5.99547984962406,-1.66461636838767,0.0983354027503387,0.150814076125148,-4.94278592779091
PKIA-AS1,-0.145054643030303,2.11942733834586,-3.54146153124718,0.0005486387884473,0.0023342296862328,-0.456220899279877
ZNF483,-0.145058236363637,2.98341670676692,-2.44405061434798,0.0158288228695965,0.0329673244703821,-3.43655125502824
AFM,-0.145076574242424,2.53792470676692,-2.61623190011467,0.0099151915582052,0.02235728345917,-3.03294907642859
MBOAT2,-0.145116103939391,6.45487945864662,-0.657373527707062,0.51207292058923,0.591775609414126,-6.06617231896364
CNTNAP5,-0.145189688484847,2.84296033082707,-2.62161136345358,0.0097677446952045,0.0220843577003907,-3.01994025600771
ANKRD20A5P,-0.145204374848484,3.41972473684211,-1.87045856449203,0.0636104208737115,0.104847091492365,-4.59733839975007
TRDV3,-0.145314059393939,2.8562507518797,-2.64504307528355,0.0091482852398705,0.0209038576595932,-2.96299700231367
ATP6V1B1,-0.145328786666666,4.05422709774436,-2.25489976439729,0.0257682225500612,0.0493151977001522,-3.85097289093114
ANAPC13,-0.145331194242425,10.0691241503759,-1.15037724749297,0.252045637128135,0.331549965618218,-5.6357159672144
LINC01809,-0.145415714848484,2.51381363909774,-2.8099148618323,0.0057014065211625,0.0142081218181989,-2.54956316857421
PI15,-0.145431438484849,3.47136909774436,-3.00542681980222,0.0031689578470071,0.0088903447770122,-2.03079165748753
DIRC1,-0.145497833636364,2.1912805037594,-3.62893588324481,0.0004042073293969,0.001872450106899,-0.178939318474703
F9,-0.145505403030303,2.6328232556391,-3.06265223128263,0.0026541259649068,0.0077273572223159,-1.87320590184922
LINC02426,-0.145600223939395,2.81786445864662,-2.56542085284919,0.011409954522744,0.0251357662489258,-3.15463511552949
MB,-0.14562653,5.34500963157895,-0.718518892046148,0.473693472939754,0.555531766684544,-6.02541187717584
RBBP9,-0.145639998787878,2.79729387969925,-3.06027181071533,0.0026739004824761,0.0077692433707869,-1.8798122941394
LOC101927359,-0.145711649090909,2.15522272180451,-4.14483880930921,6.00618228301222e-05,0.0005546038411147,1.56541203128211
HOXB8,-0.14574909909091,3.90211887969925,-1.70394965038723,0.0907177613642986,0.140910222853155,-4.87974333920414
LOC101929413,-0.145826312424243,2.72298560150376,-3.25052738806505,0.0014581750484124,0.0048037920818131,-1.3379238012522
ABCA4,-0.145832628484849,2.6899737443609,-2.77672500987668,0.0062812042507344,0.0153870830498516,-2.63457584849808
ALG12,-0.145840209696968,5.72129932330827,-1.96071369556938,0.051995031073979,0.0888651953370715,-4.43384955394404
KIAA0513,-0.145868967878787,2.94319012781955,-1.85037021819245,0.0664715118935291,0.108887283520494,-4.63273473712992
SCRN2,-0.145920350909089,5.90270045864662,-2.33868336661069,0.0208372031346924,0.041399611936145,-3.6711855627602
CHORDC1,-0.145997301212121,8.74249928571429,-1.41259045113355,0.16010394126688,0.226913905321936,-5.3130675644699
WFDC5,-0.146053310909091,2.95767742857143,-2.20905455209923,0.0288766523687451,0.05425929430568,-3.94678467023259
ASB11,-0.146056703636364,2.70176470676692,-2.77738163913101,0.0062692312812706,0.0153596166391131,-2.63290263314202
NFYC-AS1,-0.146066154848485,4.69702269172932,-1.5747581414623,0.117679924323494,0.175187841032572,-5.08150851984547
